id,apiId,model,promptTokens,completionTokens,totalTokens,cost,ip,openaiKeyId,createTime
1066490257,as-r3qzjuz4i4,deepseek-r1-250528,93,353,446,0.003612,36.103.203.2,149014,1765694033000
1066490007,as-c36c1bff9n,deepseek-r1-250528,505,4348,4853,0.0429528,36.103.203.2,149014,1765694022000
1066486466,as-kicj32azt9,deepseek-r1-250528,126,424,550,0.0043728,36.103.203.3,149014,1765693897000
1066485984,as-jjn7bnqbxu,deepseek-r1-250528,474,3467,3941,0.0344208,36.103.203.3,149014,1765693885000
1066483551,as-v6m63vg1pb,deepseek-r1-250528,108,478,586,0.004848,36.103.203.3,149014,1765693789000
1066483423,as-47ugp1vb35,deepseek-r1-250528,24916,2469,27385,0.0835008,36.103.203.3,149014,1765693775000
1066439745,as-fj2qh9sv8s,deepseek-r1-250528,1318,2121,3439,0.0235248,36.103.203.3,149014,1765691583000
1066439064,as-h74gxq557z,deepseek-r1-250528,2759,1734,4493,0.023268,36.103.203.2,149014,1765691520000
1066438474,as-qzygcgev0v,deepseek-r1-250528,499,1018,1517,0.0109704,36.103.203.2,149014,1765691479000
1066438004,as-8y7841egg0,deepseek-r1-250528,118,729,847,0.0072816,36.103.203.3,149014,1765691447000
1066437725,as-yc5h2p9pvu,deepseek-r1-250528,502,2891,3393,0.0289584,36.103.203.2,149014,1765691428000
1066436369,as-6epbaatz8z,deepseek-r1-250528,121,1180,1301,0.0116184,36.103.203.2,149014,1765691342000
1066436055,as-vky1hip32g,deepseek-r1-250528,505,1264,1769,0.0133464,36.103.203.3,149014,1765691307000
1066435739,as-xsha60iinm,deepseek-r1-250528,124,302,426,0.0031968,36.103.203.3,149014,1765691273000
1066435641,as-xn9tfeyumw,deepseek-r1-250528,519,1599,2118,0.016596,36.103.203.3,149014,1765691263000
1066435109,as-u7f5z4ej7r,deepseek-r1-250528,140,351,491,0.0037056,36.103.203.2,149014,1765691221000
1066434978,as-0m6ifxacxz,deepseek-r1-250528,7743,2202,9945,0.0397224,36.103.203.3,149014,1765691210000
1066396141,as-skj8gww8js,deepseek-r1-250528,1323,718,2041,0.010068,36.103.203.2,149014,1765689081000
1066395753,as-qnudaujy3r,deepseek-r1-250528,2765,3613,6378,0.0413208,36.103.203.3,149014,1765689062000
1066392676,as-d5z30v766x,deepseek-r1-250528,688,1430,2118,0.0153792,36.103.203.2,149014,1765688951000
1066391522,as-wrjqdz2zpz,deepseek-r1-250528,309,386,695,0.0044472,36.103.203.2,149014,1765688913000
1066391200,as-r5uknkmmwq,deepseek-r1-250528,54655,2169,56824,0.1519944,36.103.203.2,149014,1765688903000
1066346407,as-822dasej8y,deepseek-r1-250528,1327,1175,2502,0.0144648,36.103.203.3,149014,1765686828000
1066346088,as-962g1tuivc,deepseek-r1-250528,2793,5453,8246,0.059052,36.103.203.3,149014,1765686798000
1066342416,as-4y0w4zgq56,deepseek-r1-250528,531,981,1512,0.010692,36.103.203.2,149014,1765686622000
1066341751,as-rb9akw0trn,deepseek-r1-250528,165,272,437,0.0030072,36.103.203.3,149014,1765686593000
1066341620,as-y74ty6vwcj,deepseek-r1-250528,504,1143,1647,0.0121824,36.103.203.3,149014,1765686586000
